batch_size,accuracy,accuracy_ci_lower,accuracy_ci_upper,macro_f1,macro_f1_ci_lower,macro_f1_ci_upper,weighted_f1,kappa,non_ok_requests,non_ok_request_rate,api_fallback_requests,non_ok_items,fallback_items,fallback_item_rate,api_fallback_items,prompt_tokens,completion_tokens,missing_token_usage_requests,request_latency_seconds_sum
10,0.597601598934044,0.5782079920737735,0.6169970301712034,0.6310861728689423,0.6095376445347837,0.6515553776352272,0.5552852594295669,0.3166116065461073,0,0.0,0,0,0,0.0,0,444584,118558,0,2270.5040531158447
25,0.5978236731068177,0.5785305159084151,0.617242370434716,0.6306279297292495,0.6094759695466868,0.650655460793614,0.5543186109516705,0.3174266631490066,0,0.0,0,0,0,0.0,0,214543,99288,0,1521.91530418396
50,0.5978236731068177,0.5784443792244752,0.6171415972087614,0.6301783138079441,0.608977115114304,0.6503633568961513,0.5555552168148337,0.31758522430584746,0,0.0,0,0,0,0.0,0,137863,86723,0,1221.4083700180054
