comparison,metric,difference,difference_ci_lower,difference_ci_upper,prediction_agreement,prediction_changes
batch 10 minus batch 50,accuracy,-0.0002220741727737563,-0.005694841941994502,0.005371964561608022,0.9624694648012436,169
batch 10 minus batch 50,macro_f1,0.0009078590609982173,-0.004715155794993103,0.006812729327098342,0.9624694648012436,169
batch 25 minus batch 50,accuracy,0.0,-0.005376615618551098,0.005477681194410799,0.9651343548745281,157
batch 25 minus batch 50,macro_f1,0.00044961592130543515,-0.0050475743493055255,0.00598638063363629,0.9651343548745281,157
