stratum,mutually_exclusive,n,reviews_n,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,bootstrap_seed,objective_n,objective_percent,semi_objective_n,semi_objective_percent,subjective_n,subjective_percent
<0.50,True,1811,1202,0.8741027056874655,0.85730525503037,0.890608166436464,0.8855292455699889,0.8655689467421547,0.9038647495503637,43,114,6.2948647156267254,813,44.89232468249586,884,48.812810601877416
0.50–<0.75,True,1737,1088,0.9476108232584917,0.9363053701731122,0.9581943982393736,0.9460085953484403,0.9319352178255991,0.9588544906991188,44,136,7.8295912492803685,736,42.371905584340816,865,49.798503166378815
0.75–<0.90,True,630,424,0.9793650793650793,0.9666097556436949,0.9903225806451613,0.9757845933260444,0.9563318991633469,0.9905989651843711,45,45,7.142857142857143,278,44.12698412698413,307,48.73015873015873
≥0.90,True,325,271,0.8492307692307692,0.8012227810323864,0.894084741193386,0.7964000223601095,0.7147382298464388,0.8726155547715924,46,18,5.538461538461538,140,43.07692307692308,167,51.38461538461539
Normalized exact-text match,False,244,208,0.8073770491803278,0.7469879518072289,0.8658548266517148,0.7544066324812159,0.660637988009958,0.8443088880580167,47,15,6.147540983606557,106,43.442622950819676,123,50.40983606557377
