model,accuracy,accuracy_ci_lower,accuracy_ci_upper,macro_f1,macro_f1_ci_lower,macro_f1_ci_upper
Bioformer-8L,0.9153897401732178,0.9058345720444235,0.924868335725735,0.9151846159003062,0.9018784868709727,0.9271016867425258
GPT-5.2 taxonomy-aligned 10 examples,0.7861425716189208,0.7699212386342564,0.8015938574108733,0.8021395399294189,0.7834980332275081,0.8193871204820568
GPT-5.2 taxonomy-aligned 18 examples,0.7876970908283366,0.7717539157311559,0.8032426149274776,0.8038908264247334,0.7859562566603754,0.8206054568460013
