model,accuracy,accuracy_ci_lower,accuracy_ci_upper,macro_f1,macro_f1_ci_lower,macro_f1_ci_upper
Bioformer-8L,0.9153897401732178,0.9058345720444235,0.924868335725735,0.9151846159003059,0.9018784868709727,0.9271016867425258
PubMedBERT,0.9222740395292027,0.9129468918218778,0.9310950381629682,0.9248589877064076,0.9127639027148735,0.9357343576448779
BioBERT,0.9207195203197868,0.9114821341370029,0.9294776001061267,0.9228132621877174,0.9105599294340265,0.9336948067814941
SciBERT,0.9173884077281812,0.9076368069588625,0.9265039191531393,0.9235162666798287,0.9118111834774705,0.9340138100174962
ModernBERT-base,0.9027315123251166,0.892516047030099,0.9124087591240876,0.9044371982891027,0.8910188957016738,0.9166421370322192
